you are very rich .,vous etes tres riche .
i m hit !,je suis touchee !
they re still together .,ils sont toujours ensemble .
i m your best friend .,je suis ton meilleur ami .
he is a good tennis player .,c est un tres bon joueur de tennis .
i m really not supposed to do this .,je ne suis vraiment pas supposee faire ca .
i m forgetful .,je suis distrait .
we re all witnesses .,nous sommes tous temoins .
i m going .,je pars .
he s married .,il est marie .
i am not your enemy .,je ne suis pas ton ennemi .
i m not going to name names .,je ne vais pas citer de noms .
we re all armed .,nous sommes tous armes .
she is certainly over forty .,c est certainement une quadra .
you re out of booze .,c est maree basse .
he s dating my daughter .,il sort avec ma fille .
i m surprised .,je suis surprise .
i m sorry if i frightened you .,je suis desolee si je vous ai effrayes .
she s got a point .,elle a un argument .
i m not giving you any money .,je ne vous donnerai aucun argent .
you aren t invited .,vous n etes pas invitees .
you are so childish sometimes .,tu es parfois si pueril .
you re very funny .,tu es tres marrante .
you re finicky .,vous etes tatillons .
i m buying a puppy .,je suis en train d acheter un chiot .
i m not really that thirsty .,je n ai pas si soif que ca .
she is gentle .,elle est gentille .
he is walking now .,il est actuellement en train de marcher .
you re wrong in this case .,vous avez tort dans ce cas .
she s a real hottie .,elle est vraiment une fille ravissante .
they are running now .,ils courent maintenant .
we re a big family .,nous sommes une grande famille .
he is selfish and greedy .,il est egoiste et cupide .
i m not bitter .,je ne suis pas amere .
he s not in the mood .,il n est pas d humeur .
i m not very confident .,je n ai pas trop confiance .
i am almost ready .,je suis presque pret .
i m ready for tomorrow .,je suis prete pour demain .
you re depressed aren t you ?,vous etes deprime n est ce pas ?
i m a light sleeper .,je dors peu .
i m very pleased to meet you .,je suis ravi de faire votre connaissance .
i m not buying it .,je ne gobe pas ca .
we re almost there .,nous y sommes presque .
you re kind of cute .,vous etes mignon dans votre genre .
you re so predictable .,vous etes tellement previsibles !
you re not telling the truth .,vous ne dites pas la verite .
i m at home .,je suis a la maison .
you re the tallest person here .,vous etes la plus grande personne ici .
they re looking for a scapegoat .,elles cherchent un bouc emissaire .
i m leaving today .,je pars aujourd hui .
we re still not sure .,nous ne sommes toujours pas sures .
they re not here yet .,elles ne sont pas encore la .
i m going to do something else .,je vais faire autre chose .
i m sick of lying .,j en ai vraiment marre de mentir .
you re not fired .,vous n etes pas vire .
i m prejudiced .,j ai des prejuges .
you re nuts !,vous etes givre !
he is absorbed in his work .,son travail l absorbe .
i am certain that you have noble thoughts .,je suis sur que vos pensees sont nobles .
they re right of course .,elles ont raison bien sur .
i am truly sorry .,je suis vraiment desolee .
we re freezing .,on se gele .
i am a university student .,je suis etudiant a l universite .
i m an artist .,je suis une artiste .
you are taller than me .,tu es plus grand que moi .
you re cuter than mary .,tu es plus mignonne que mary .
i m doing the best i can .,je fais du mieux que je peux .
she is known to everyone .,elle est connue de tout le monde .
you re tough .,vous etes dures .
you are always doubting my word .,tu doutes toujours de ma parole .
i m a salesperson .,je suis un vendeur .
we re sneaky .,nous sommes sournois .
you re part of the problem .,tu fais partie du probleme .
i am an american .,je suis americain .
i m outraged .,je suis indignee .
i m from america .,je viens d amerique .
you re not tired are you ?,vous n etes pas fatigues si ?
i m sure tom was involved .,je suis sur que tom a ete implique .
we re finally alone .,on est enfin seules .
i am done teaching .,j ai fini d enseigner .
i m not good looking .,je ne suis pas belle .
we re not going .,nous ne nous en allons pas .
i m a bit nervous right now .,je suis un peu nerveux en ce moment .
we re trapped .,nous sommes pieges .
i m dependable .,je suis fiable .
i m not a drug addict .,je ne suis pas un toxico .
i m really going to miss tom .,je vais vraiment manquer a tom .
i m looking for my key .,je cherche ma cle .
i m an engineer .,je suis ingenieur .
he is known as a great painter .,il est connu pour etre un grand peintre .
we re finished .,nous en avons termine .
we re just like brothers .,nous sommes juste comme des freres .
she is a poor cook .,c est une pietre cuisiniere .
i m very happy .,je suis tres heureux .
we re finally alone .,nous sommes enfin seuls .
i m going to miss this place .,cet endroit va me manquer .
he is a gentleman among gentlemen .,c est un monsieur .
i m resentful .,j eprouve du ressentiment .
she is shy of strangers .,elle est intimidee par les etrangers .
he s a bit jealous .,il est un peu jaloux .
you are always complaining .,tu te plains toujours .
you re driving too fast .,tu conduis trop vite .
i m not giving up yet .,je ne vais pas encore abandonner .
he s here to protect you .,il est la pour vous proteger .
i m not cranky .,je ne suis pas grincheuse .
they re afraid of me .,ils ont peur de moi .
i m beginning to get curious .,je commence a devenir curieuse .
she is a friend of mine .,c est une amie a moi .
i am singing with my children .,je chante avec mes enfants .
you re a nervous wreck .,tu es nerveusement usee .
i m not angry .,je ne suis pas en colere .
he is smart .,il est intelligent .
you re trespassing here .,vous etes dans une propriete privee ici .
you re arrogant .,vous etes arrogant .
i am going to that place .,je vais a cet endroit .
you re going to love our food .,vous allez adorer nos plats .
i m longing to see him .,j ai hate de le voir .
i m glad i make you happy .,je me rejouis de te contenter .
i am the fastest runner .,je suis le coureur le plus rapide .
you re not really a millionaire are you ?,vous n etes pas vraiment millionnaire si ?
i m aware of that .,j en suis conscient .
he s just arrived .,il vient d arriver .
he s a jesuit .,il est jesuite .
we are not here to arrest you .,nous ne sommes pas ici pour t arreter .
you are very insensitive .,vous etes tres indelicat .
you re extroverted .,tu es extraverti .
you are my daughter .,vous etes ma fille .
we re meant for each other .,nous sommes faits l un pour l autre .
you re naive .,vous etes naifs .
i am like my mother .,je suis comme ma mere .
she is dressed like a bride .,elle est habillee en mariee .
you re overworked .,vous etes surmenes .
he is mentally handicapped .,il est handicape mental .
you re just tired .,tu es juste fatigue .
i m not joking .,je ne plaisante pas .
he is beyond help .,il n y a rien a en tirer .
i m not married yet .,je ne suis pas encore mariee .
he is always forgetting things .,il oublie toujours des choses .
i m sure he ll leave early .,je suis sur qu il partira tot .
she is afraid of dogs .,elle a peur des chiens .
you are a student .,vous etes un etudiant .
you are very smart .,vous etes tres sages .
i m sorry i hurt you .,je suis desolee de vous avoir blesses .
i am not like you .,je ne suis pas comme vous .
i m not ashamed .,je n ai pas honte .
you re not dressed .,vous n etes pas habilles .
he is a daredevil .,c est un casse cou .
i m astonished .,je suis stupefait .
he s a leading authority in his field .,c est une pointure dans son domaine .
i am against working on sundays .,je suis contre le travail du dimanche .
we re unrelated .,nous ne sommes pas apparentees .
i am afraid he will make a mistake .,je crains qu il commette une erreur .
he s looking at you .,il vous regarde .
he is no longer a child .,ce n est plus un enfant .
i m going back home tomorrow .,je vais rentrer a la maison demain .
i m smarter than you .,je suis plus vif que vous .
i m absolutely sure !,j en suis sure et certaine !
i m experiencing some heartburn .,je ressens des brulures d estomac .
you re sick !,vous etes malade !
you re very sophisticated .,vous etes fort elegants .
i m happy to see you here .,je suis heureux de vous voir ici .
i m sure that you ll succeed .,je suis sur que vous allez reussir .
i m really busy .,je suis vraiment occupe .
he is sick .,il est malade .
i m starving .,j ai la fringale .
you re not listening !,tu n ecoutes pas !
i m from bulgaria .,je viens de bulgarie .
they re right behind you .,ils se trouvent juste derriere toi .
i m not telling you again .,je ne vais pas te le repeter .
he is very good looking .,il est tres seduisant .
you re very clever .,vous etes fort ingenieuses .
we re not living together .,nous ne vivons pas ensemble .
i m on a diet .,je suis au regime .
i m pleased to see you .,je suis ravi de vous voir .
i m sorry if i frightened you .,je suis desole si je vous ai effraye .
you re on the list .,vous etes sur la liste .
he s not very good at it .,il n y excelle pas .
he is a famous composer .,c est un celebre compositeur .
i m sleepy !,je suis fatigue !
we re sunk .,on est foutu .
i m sure they ll win .,je suis sur qu elles vont gagner .
he s eight years old .,il a huit ans .
she is a good dancer .,c est une bonne danseuse .
you re awesome .,tu es geniale .
i am more beautiful than you .,je suis plus belle que toi .
i am moving next month .,je demenage le mois prochain .
i m glad i invited you .,je suis heureux de vous avoir invitees .
you re the only one who understands me .,tu es le seul a me comprendre .
i m not entirely sure .,je ne suis pas entierement sure .
you are both pretty and kind .,tu es a la fois mignon et gentil .
they are alone .,elles sont seules .
you re very generous .,vous etes tres genereuse .
he is equal to the task .,il est a la hauteur de la tache .
i m anxious to see you .,je suis impatient de vous voir .
